MentorID,Slot1,Slot2,Slot3,Slot4,Slot5,Slot6,Slot7,Slot8,Slot9,Slot10
M01,1,1,1,1,0,0,0,1,1,1
M02,1,1,0,1,0,0,1,0,0,1
M03,0,1,0,1,1,0,1,0,0,1
M04,0,1,0,0,0,0,1,1,0,1
M05,1,1,0,1,1,1,0,0,0,1
M06,1,0,0,0,1,1,0,1,0,1
M07,0,1,0,0,0,1,1,0,1,1
M08,1,1,1,1,1,1,0,1,1,1
M09,1,1,1,0,1,1,0,0,0,1
M10,1,0,1,1,1,0,1,0,0,0
M11,1,0,0,0,0,1,0,0,0,0
M12,1,1,0,0,0,0,0,0,0,1
M13,1,1,1,1,1,1,0,1,1,1
M14,0,0,1,0,1,0,1,1,1,1
M15,0,1,1,0,1,1,0,0,0,1
M16,1,1,0,0,1,0,1,1,0,0
M17,0,1,1,0,0,1,0,0,1,0
M18,1,0,0,0,1,1,1,1,0,1
M19,0,0,1,0,0,0,0,1,1,0
M20,0,0,0,0,1,0,1,0,1,0
